record_id,account_id,ticket_date,issue_category,resolution_time_hours
SUP-000759,CUST-0260,2023-07-04,Bug,0.5
SUP-000929,CUST-0310,2024-03-22,Bug,1.8925563477745322
SUP-000400,CUST-0143,2024-02-03,Feature Request,0.5
SUP-000229,CUST-0078,2024-04-03,Feature Request,0.5
SUP-001160,CUST-0391,2024-06-16,Feature Request,7.0841735693107895
SUP-000461,CUST-0161,2024-01-19,Bug,16.23535115983353
SUP-000045,CUST-0015,2024-02-11,Feature Request,17.99933575624616
SUP-000055,CUST-0017,2024-03-28,Billing,28.420394399236688
SUP-000728,CUST-0246,2024-06-17,Onboarding,4.219978243076448
SUP-001086,CUST-0366,2024-01-04,Feature Request,0.5
SUP-000462,CUST-0161,2023-11-06,Feature Request,17.369810195057028
SUP-000901,CUST-0299,2024-05-17,Feature Request,28.49349256289224
SUP-000597,CUST-0203,2023-11-06,Feature Request,4.820105933980329
SUP-000008,CUST-0003,2024-03-15,Billing,41.146432704563885
SUP-000600,CUST-0203,2023-11-20,Bug,9.163263389088781
SUP-001140,CUST-0385,2023-09-01,Onboarding,15.775329011867099
SUP-000935,CUST-0314,2023-07-03,Bug,0.5
SUP-000744,CUST-0256,2023-07-24,Feature Request,20.6942556007051
SUP-000945,CUST-0317,2023-06-19,Onboarding,10.42921534431777
SUP-000657,CUST-0220,2023-07-20,Onboarding,10.111539301665243
SUP-000183,CUST-0064,2023-08-06,Bug,17.797334943845115
SUP-000493,CUST-0173,2024-01-09,Feature Request,3.944109848800813
SUP-000607,CUST-0205,2023-06-04,Bug,0.5
SUP-000842,CUST-0281,2024-03-25,Feature Request,41.97880611787335
SUP-000921,CUST-0306,2024-02-13,Onboarding,0.5
SUP-000294,CUST-0101,2024-03-12,Onboarding,20.83439595041291
SUP-000418,CUST-0149,2023-07-24,Feature Request,20.251831336972025
SUP-000140,CUST-0047,2023-07-20,Onboarding,14.450177801768923
SUP-000882,CUST-0293,2024-05-30,Bug,20.237789073443768
SUP-000068,CUST-0021,2023-12-09,Feature Request,8.327364171302582
SUP-001047,CUST-0355,2023-09-01,Bug,2.9702391628706444
SUP-000866,CUST-0287,2023-11-16,Onboarding,9.329840762843489
SUP-000674,CUST-0228,2023-06-13,Bug,10.932830561783774
SUP-000916,CUST-0303,2023-06-29,Feature Request,5.523014593144884
SUP-000836,CUST-0279,2024-06-30,Bug,21.4843170485175
SUP-000139,CUST-0047,2023-09-24,Billing,14.753221643630546
SUP-000109,CUST-0034,2023-07-21,Billing,35.73609430897988
SUP-001125,CUST-0376,2023-11-04,Onboarding,0.5
SUP-000887,CUST-0295,2023-06-09,Billing,9.865868355134426
SUP-000813,CUST-0273,2023-08-26,Onboarding,11.16043822489721
SUP-000768,CUST-0262,2024-03-17,Feature Request,27.24185983839765
SUP-000443,CUST-0157,2024-03-03,Onboarding,26.519244140129295
SUP-001120,CUST-0374,2023-08-10,Onboarding,5.688552773299659
SUP-000000,CUST-0001,2024-01-25,Onboarding,29.397535326988848
SUP-000116,CUST-0037,2023-08-12,Onboarding,17.453743658549186
SUP-000078,CUST-0025,2023-06-27,Bug,0.5
SUP-000496,CUST-0174,2023-06-04,Onboarding,27.297938608469245
SUP-000492,CUST-0172,2024-04-29,Feature Request,0.5
SUP-001103,CUST-0370,2023-11-11,Bug,19.281984694283302
SUP-000249,CUST-0087,2023-06-11,Billing,24.250174057058313
SUP-001017,CUST-0346,2024-04-17,Feature Request,13.340720586015236
SUP-000398,CUST-0142,2023-07-08,Feature Request,18.09155263531546
SUP-000217,CUST-0074,2023-12-01,Feature Request,16.84825422388453
SUP-000094,CUST-0029,2023-10-07,Onboarding,24.406543682995704
SUP-000125,CUST-0041,2024-06-27,Bug,2.499347326809283
SUP-000454,CUST-0160,2023-08-04,Billing,0.6958843283766702
SUP-000621,CUST-0207,2024-01-24,Billing,15.404136909931017
SUP-000895,CUST-0296,2023-09-13,Billing,0.5
SUP-000014,CUST-0004,2024-03-08,Bug,
SUP-000794,CUST-0269,2023-08-24,Bug,14.586079201388797
SUP-000702,CUST-0237,2024-05-30,Feature Request,2.4792312786242716
SUP-000763,CUST-0261,2024-02-21,Feature Request,4.547610190811446
SUP-000781,CUST-0265,2023-08-21,Billing,10.1893454045269
SUP-001077,CUST-0363,2023-09-19,Bug,11.889267341847418
SUP-000608,CUST-0205,2024-05-27,Bug,1.2723096878347218
SUP-000220,CUST-0075,2023-10-31,Feature Request,20.33534373402637
SUP-000943,CUST-0317,2023-08-19,Bug,17.423495320348902
SUP-000095,CUST-0030,2023-11-12,Onboarding,16.330367789048246
SUP-000272,CUST-0097,2024-05-02,Onboarding,11.176151413054086
SUP-000314,CUST-0108,2024-04-06,Billing,2.5053245335460748
SUP-000175,CUST-0061,2023-07-30,Bug,2.8248850813825044
SUP-000650,CUST-0219,2024-06-15,Bug,12.779836577041163
SUP-000407,CUST-0145,2024-02-06,Onboarding,11.149162593041142
SUP-001058,CUST-0359,2023-10-26,Bug,32.03628381096772
SUP-000665,CUST-0225,2024-01-09,Feature Request,1.392210789424488
SUP-000561,CUST-0190,2023-07-04,Onboarding,17.657519560257846
SUP-001070,CUST-0362,2023-07-07,Feature Request,6.639860731933612
SUP-000267,CUST-0095,2024-02-28,Onboarding,0.5
SUP-000799,CUST-0270,2023-12-11,Feature Request,11.382413711150575
SUP-000104,CUST-0032,2023-11-30,Feature Request,17.203487673011992
SUP-000717,CUST-0245,2023-08-12,Billing,11.294910814532633
SUP-001043,CUST-0354,2024-06-02,Billing,28.542833237762295
SUP-000420,CUST-0149,2024-02-12,Feature Request,22.535130590914683
SUP-000718,CUST-0245,2024-06-07,Billing,12.131289167939144
SUP-000427,CUST-0151,2023-06-03,Billing,19.938349495536606
SUP-001081,CUST-0364,2023-08-23,Feature Request,4.584114247384207
SUP-000361,CUST-0129,2023-06-21,Onboarding,33.460607042578125
SUP-000251,CUST-0087,2023-08-13,Billing,16.625159444019147
SUP-000638,CUST-0214,2023-11-20,Billing,12.640532085006328
SUP-001053,CUST-0357,2023-12-20,Feature Request,8.650847075876676
SUP-000522,CUST-0181,2023-11-30,Bug,14.626884175301978
SUP-000370,CUST-0130,2023-12-20,Bug,17.411233870411728
SUP-000900,CUST-0299,2023-07-17,Billing,25.780398924344265
SUP-000214,CUST-0073,2024-06-24,Onboarding,21.772360149535526
SUP-000930,CUST-0310,2023-10-28,Onboarding,
SUP-000144,CUST-0049,2024-01-01,Onboarding,23.43055657527158
SUP-001078,CUST-0364,2023-12-26,Bug,15.610269635739407
SUP-000515,CUST-0179,2023-08-30,Onboarding,
SUP-000012,CUST-0003,2024-04-04,Feature Request,28.217425594389525
SUP-000642,CUST-0215,2024-04-11,Bug,3.2084594157624338
SUP-000830,CUST-0278,2023-12-08,Feature Request,18.360463348271672
SUP-000569,CUST-0193,2024-06-20,Feature Request,6.069100801426774
SUP-000587,CUST-0197,2023-12-17,Bug,14.663580343798928
SUP-000760,CUST-0260,2023-07-13,Onboarding,0.5
SUP-001055,CUST-0357,2023-10-16,Onboarding,12.34684702457738
SUP-001131,CUST-0378,2024-06-15,Billing,13.75790014135217
SUP-001139,CUST-0385,2024-03-01,Billing,21.78832498330337
SUP-000340,CUST-0120,2024-06-09,Billing,5.173335577446421
SUP-000442,CUST-0156,2024-04-14,Feature Request,18.772639021931987
SUP-000875,CUST-0289,2023-07-26,Bug,8.503277706991103
SUP-001119,CUST-0374,2023-08-03,Onboarding,17.270264773612826
SUP-001115,CUST-0373,2024-03-05,Bug,20.17068784341291
SUP-000848,CUST-0283,2023-10-24,Billing,9.211742168714938
SUP-000643,CUST-0215,2023-10-15,Onboarding,15.349764980312083
SUP-000551,CUST-0188,2024-03-05,Onboarding,30.178480420256385
SUP-000719,CUST-0245,2023-10-03,Onboarding,20.750754867673624
SUP-000981,CUST-0329,2024-04-22,Onboarding,9.039831187547128
SUP-000360,CUST-0128,2023-08-25,Onboarding,3.5341365930276902
SUP-000907,CUST-0300,2024-02-21,Billing,12.670253162662618
SUP-000793,CUST-0269,2023-12-04,Billing,11.50373415314332
SUP-000743,CUST-0255,2023-09-15,Onboarding,0.5
SUP-000640,CUST-0215,2024-01-06,Bug,11.712254739171069
SUP-000296,CUST-0103,2023-08-30,Feature Request,27.62084076424318
SUP-000366,CUST-0130,2023-08-20,Bug,11.06445158064039
SUP-000989,CUST-0331,2024-02-08,Onboarding,25.430048595815727
SUP-000485,CUST-0169,2023-09-15,Onboarding,0.5
SUP-000317,CUST-0109,2024-01-05,Onboarding,0.5
SUP-000318,CUST-0109,2023-11-20,Feature Request,0.5
SUP-000732,CUST-0247,2024-03-03,Onboarding,15.731571923339938
SUP-000202,CUST-0069,2023-10-15,Onboarding,21.877268315266768
SUP-000313,CUST-0108,2023-12-25,Feature Request,10.61968060412514
SUP-000290,CUST-0101,2023-06-24,Onboarding,20.447482490259038
SUP-000195,CUST-0068,2023-12-27,Feature Request,10.957101761980397
SUP-000433,CUST-0152,2024-06-19,Onboarding,0.5
SUP-001095,CUST-0368,2024-01-14,Feature Request,19.813001687474085
SUP-000498,CUST-0175,2023-06-19,Feature Request,0.5
SUP-000688,CUST-0232,2023-07-19,Feature Request,12.644804728436505
SUP-000962,CUST-0322,2023-06-01,Bug,0.5
SUP-000060,CUST-0020,2023-12-21,Bug,3.854948084656506
SUP-001146,CUST-0387,2024-02-20,Feature Request,21.55812767413034
SUP-000388,CUST-0139,2023-10-12,Onboarding,22.46202218480254
SUP-001141,CUST-0385,2023-11-20,Feature Request,21.450909069306945
SUP-000275,CUST-0098,2023-11-09,Feature Request,10.712915809664356
SUP-000474,CUST-0165,2023-08-01,Feature Request,10.02734028422618
SUP-000268,CUST-0095,2023-09-28,Billing,8.720057919740757
SUP-000341,CUST-0120,2024-02-26,Bug,20.888686589755203
SUP-000664,CUST-0224,2023-10-24,Onboarding,6.124112119710128
SUP-000598,CUST-0203,2023-12-19,Bug,8.48222698105098
SUP-000687,CUST-0231,2023-12-08,Feature Request,0.5
SUP-000363,CUST-0129,2024-06-14,Onboarding,32.82302731094132
SUP-000409,CUST-0146,2024-03-23,Feature Request,0.5
SUP-000253,CUST-0088,2023-12-11,Onboarding,0.5
SUP-000647,CUST-0218,2024-02-27,Feature Request,3.8523373626656916
SUP-000130,CUST-0044,2023-09-20,Onboarding,13.185329326355534
SUP-000986,CUST-0330,2023-12-22,Onboarding,0.5
SUP-001083,CUST-0366,2024-06-05,Onboarding,9.13458702088364
SUP-000301,CUST-0105,2023-12-29,Billing,5.500173927030291
SUP-000098,CUST-0031,2023-07-05,Billing,26.736588539306293
SUP-000531,CUST-0183,2024-05-13,Billing,22.95310838272419
SUP-001020,CUST-0346,2024-04-08,Billing,18.470102658832115
SUP-000208,CUST-0072,2023-10-10,Billing,4.797817267106705
SUP-000890,CUST-0295,2023-10-31,Billing,15.166636927570929
SUP-001036,CUST-0352,2023-06-16,Bug,14.658703700399098
SUP-000715,CUST-0243,2023-12-10,Feature Request,6.823967818003419
SUP-001064,CUST-0360,2024-02-25,Onboarding,21.652038385149567
SUP-001082,CUST-0365,2024-03-14,Onboarding,4.768147241161662
SUP-000868,CUST-0287,2024-03-25,Feature Request,7.270732347149398
SUP-000457,CUST-0160,2024-05-27,Bug,0.5
SUP-000722,CUST-0245,2023-07-17,Billing,8.878917482093476
SUP-000979,CUST-0327,2023-11-12,Feature Request,0.5
