account_id,churned
CUST-0202,Yes
CUST-0203,Yes
CUST-0204,Yes
CUST-0205,No
CUST-0206,Yes
CUST-0207,No
CUST-0208,No
CUST-0209,No
CUST-0210,No
CUST-0211,Yes
CUST-0212,Yes
CUST-0213,No
CUST-0214,Yes
CUST-0215,No
CUST-0216,No
CUST-0217,No
CUST-0218,No
CUST-0220,No
CUST-0221,No
CUST-0222,No
CUST-0223,Yes
CUST-0224,No
CUST-0225,No
CUST-0226,No
CUST-0227,No
CUST-0228,No
CUST-0229,No
CUST-0231,No
CUST-0233,No
CUST-0234,Yes
CUST-0235,No
CUST-0236,No
CUST-0237,No
CUST-0238,Yes
CUST-0239,No
CUST-0240,No
CUST-0241,Yes
CUST-0242,Yes
CUST-0245,No
CUST-0246,No
CUST-0247,No
CUST-0249,No
CUST-0250,No
CUST-0251,No
CUST-0253,No
CUST-0255,No
CUST-0256,Yes
CUST-0257,No
CUST-0258,No
CUST-0259,No
CUST-0260,No
CUST-0262,No
CUST-0264,No
CUST-0265,No
CUST-0266,No
CUST-0267,No
CUST-0268,No
CUST-0269,Yes
CUST-0270,Yes
CUST-0272,No
CUST-0273,No
CUST-0275,Yes
CUST-0276,Yes
CUST-0278,Yes
CUST-0279,No
CUST-0280,Yes
CUST-0281,Yes
CUST-0282,No
CUST-0283,No
CUST-0284,No
CUST-0285,Yes
CUST-0286,No
CUST-0287,No
CUST-0288,No
CUST-0290,Yes
CUST-0291,No
CUST-0292,No
CUST-0293,No
CUST-0294,No
CUST-0295,Yes
CUST-0296,No
CUST-0299,No
CUST-0300,No
CUST-0301,No
CUST-0302,No
CUST-0303,No
CUST-0304,No
CUST-0306,No
CUST-0307,No
CUST-0309,No
CUST-0311,No
CUST-0314,No
CUST-0315,No
CUST-0316,No
CUST-0317,No
CUST-0318,No
CUST-0320,Yes
CUST-0322,No
CUST-0323,Yes
CUST-0324,No
CUST-0325,Yes
CUST-0326,Yes
CUST-0327,Yes
CUST-0328,No
CUST-0329,Yes
CUST-0330,No
CUST-0332,Yes
CUST-0335,No
CUST-0336,No
CUST-0337,No
CUST-0338,No
CUST-0339,Yes
CUST-0340,No
CUST-0341,No
CUST-0342,No
CUST-0343,No
CUST-0344,No
CUST-0345,No
CUST-0346,No
CUST-0347,No
CUST-0348,No
CUST-0349,Yes
CUST-0350,Yes
CUST-0351,No
CUST-0352,No
CUST-0353,No
CUST-0354,No
CUST-0355,Yes
CUST-0356,No
CUST-0357,No
CUST-0358,No
CUST-0359,No
CUST-0361,No
CUST-0363,No
CUST-0365,Yes
CUST-0367,No
CUST-0368,No
CUST-0369,No
CUST-0370,No
CUST-0371,Yes
CUST-0372,No
CUST-0373,No
CUST-0374,No
CUST-0375,No
CUST-0376,No
CUST-0377,No
CUST-0378,No
CUST-0379,Yes
CUST-0380,No
CUST-0381,No
CUST-0382,No
CUST-0383,No
CUST-0385,No
CUST-0386,Yes
CUST-0388,No
CUST-0389,No
CUST-0392,Yes
